column_name,category,short_description,detailed_description,data_type,example_values,max_length,median_length
recipient_1,Sophisticated,Recipient mention,Matches phrases identifying funding recipients,object,"[False, False]",5,5
authors_1,Sophisticated,Author funding mention 1,Matches phrases about authors and funding,object,"[False, False]",5,5
authors_2,Sophisticated,Author funding mention 2,Matches author funding phrases (variant 2),object,"[False, False]",5,5
thank_1,Sophisticated,Thank/acknowledge mention 1,Matches acknowledgment phrases,object,"[False, False]",5,5
thank_2,Sophisticated,Thank/acknowledge mention 2,Matches acknowledgment phrases (variant 2),object,"[False, False]",5,5
fund_1,Sophisticated,Fund mention 1,Matches phrases about funds or funding,object,"[False, False]",5,5
fund_2,Sophisticated,Fund mention 2,Matches fund phrases (variant 2),object,"[False, False]",5,5
fund_3,Sophisticated,Fund mention 3,Matches fund phrases (variant 3),object,"[False, False]",5,5
supported_1,Sophisticated,Supported by mention,Matches phrases about being supported by entities,object,"[False, False]",5,5
financial_1,Sophisticated,Financial mention 1,Matches phrases about financial aspects,object,"[False, False]",5,5
financial_2,Sophisticated,Financial mention 2,Matches financial phrases (variant 2),object,"[False, False]",5,5
financial_3,Sophisticated,Financial mention 3,Matches financial phrases (variant 3),object,"[False, False]",5,5
grant_1,Sophisticated,Grant mention,Matches phrases about grants,object,"[False, False]",5,5
french_1,Sophisticated,French funding phrase,Matches French-language funding phrases,object,"[False, False]",5,5
common_1,Sophisticated,Common funding phrase 1,Matches common funding acknowledgment phrases,object,"[False, False]",5,5
common_2,Sophisticated,Common funding phrase 2,Matches common phrases (variant 2),object,"[False, False]",5,5
common_3,Sophisticated,Common funding phrase 3,Matches common phrases (variant 3),object,"[False, False]",5,5
common_4,Sophisticated,Common funding phrase 4,Matches common phrases (variant 4),object,"[False, False]",5,5
common_5,Sophisticated,Common funding phrase 5,Matches common phrases (variant 5),object,"[False, False]",5,5
acknow_1,Sophisticated,Acknowledgment mention,Matches acknowledgment section phrases,object,"[False, False]",5,5
disclosure_1,Sophisticated,Disclosure mention 1,Matches disclosure statement phrases,object,"[False, False]",5,5
disclosure_2,Sophisticated,Disclosure mention 2,Matches disclosure phrases (variant 2),object,"[False, False]",5,5
fund_ack,Sophisticated,Funding acknowledgment,Matches combined funding and acknowledgment phrases,object,"[True, False]",5,5
project_ack,Sophisticated,Project acknowledgment,Matches project-related acknowledgment phrases,object,"[False, False]",5,5
is_register_pred,Sophisticated,Registration section predicted,Boolean indicating if study registration information was identified,bool,"[False, False]",5,5
register_text,Copied,Registration statement text,Full text of registration statement,object,"['', '']",3132,0
type,Copied,Article type,"Article type from article-type attribute (research-article, review, etc.)",object,"['research-article', 'brief-report']",21,16
is_research,Sophisticated,Is research article,Boolean indicating if article is a research study,bool,"[True, True]",5,5
is_review,Sophisticated,Is review article,Boolean indicating if article is a review,bool,"[False, False]",5,5
is_reg_pmc_title,Sophisticated,Registration in section title,Boolean indicating if registration mentioned in section title,bool,"[False, False]",5,5
is_relevant_reg,Sophisticated,Relevant registration detected,Boolean indicating if registration section is relevant,object,"[False, False]",5,5
is_method,Sophisticated,Methods section exists,Boolean indicating presence of methods section,object,"[False, True]",5,4
is_NCT,Sophisticated,NCT number detected,Boolean indicating if ClinicalTrials.gov NCT identifier found,object,[False],5,5
is_explicit_reg,Sophisticated,Explicit registration stated,Boolean indicating explicit registration declaration,object,[True],5,4
prospero_1,Sophisticated,PROSPERO registration,Matches PROSPERO registration system mentions,object,[False],5,5
registered_1,Sophisticated,Registered mention 1,Matches phrases about registration,object,[False],5,5
registered_2,Sophisticated,Registered mention 2,Matches registered phrases (variant 2),object,[False],5,5
registered_3,Sophisticated,Registered mention 3,Matches registered phrases (variant 3),object,[False],5,5
registered_4,Sophisticated,Registered mention 4,Matches registered phrases (variant 4),object,[False],5,5
registered_5,Sophisticated,Registered mention 5,Matches registered phrases (variant 5),object,[False],5,5
not_registered_1,Sophisticated,Not registered statement,Matches phrases about lack of registration,object,[False],5,5
registration_1,Sophisticated,Registration mention 1,Matches registration phrases,object,[False],5,5
registration_2,Sophisticated,Registration mention 2,Matches registration phrases (variant 2),object,[False],5,5
registration_3,Sophisticated,Registration mention 3,Matches registration phrases (variant 3),object,[False],5,5
registration_4,Sophisticated,Registration mention 4,Matches registration phrases (variant 4),object,[False],5,5
registry_1,Sophisticated,Registry mention,Matches trial registry mentions,object,[False],5,5
reg_title_1,Sophisticated,Registration in title 1,Matches registration-related phrases in titles,object,[False],5,5
reg_title_2,Sophisticated,Registration in title 2,Matches registration title phrases (variant 2),object,[False],5,5
reg_title_3,Sophisticated,Registration in title 3,Matches registration title phrases (variant 3),object,[False],5,5
reg_title_4,Sophisticated,Registration in title 4,Matches registration title phrases (variant 4),object,[False],5,5
funded_ct_1,Sophisticated,Funded clinical trial mention,Matches phrases about funded clinical trials,object,[False],5,5
ct_2,Sophisticated,Clinical trial mention 2,Matches clinical trial phrases (variant 2),object,[False],5,5
ct_3,Sophisticated,Clinical trial mention 3,Matches clinical trial phrases (variant 3),object,[False],5,5
protocol_1,Sophisticated,Protocol mention,Matches study protocol mentions,object,[False],5,5
is_success,Sophisticated,Successful extraction,Boolean indicating if the article was successfully processed,bool,"[True, True]",5,5
is_open_data,Sophisticated,Open data detected,Boolean indicating if open data statement or link found,bool,"[False, False]",5,5
is_open_code,Sophisticated,Open code detected,Boolean indicating if open code/software statement found,bool,"[False, False]",5,5
is_relevant_code,Sophisticated,Relevant code mention,Boolean indicating if relevant code availability information present,bool,"[True, False]",5,5
is_relevant_data,Sophisticated,Relevant data mention,Boolean indicating if relevant data availability information present,bool,"[True, True]",5,5
