journal,publisher,count
Epidemiology and Infection,"Cambridge University Press; Cambridge, UK",59
Helminthologia,Sciendo,59
NPJ Vaccines,Nature Publishing Group UK; London,59
Cognitive Science,John Wiley and Sons Inc.; Hoboken,58
NPJ Precision Oncology,Nature Publishing Group UK; London,58
International Journal of Medical Sciences,Ivyspring International Publisher; Sydney,58
Molecular Cancer Therapeutics,American Association for Cancer Research,57
Biology Letters,The Royal Society,57
Cardiovascular Diabetology,BioMed Central; London,57
Open Veterinary Journal,"Faculty of Veterinary Medicine; Tripoli, Libya",57
Cancer Management and Research,Dove,57
Human Mutation,"BlackWell Publishing Ltd; Oxford, UK",57
Journal of Molecular Cell Biology,Oxford University Press,56
Molecular Therapy Oncolytics,American Society of Gene & Cell Therapy,56
FEMS Microbiology Letters,Oxford University Press,55
Current Research in Parasitology & Vector-borne Diseases,Elsevier,55
Archives of Toxicology,Springer Berlin Heidelberg; Berlin/Heidelberg,55
Vavilov Journal of Genetics and Breeding,The Federal Research Center Institute of Cytology and Genetics of Siberian Branch of the Russian Academy of Sciences; Russia,55
Molecular Horticulture,BioMed Central; London,55
Bio-protocol,"Bio-Protocol; 1075 Lorne Way, Sunnyvale, CA 94087, USA",55
Journal of Medical Internet Research,"JMIR Publications; Toronto, Canada",55
Clinical Infectious Diseases: An Official Publication of the Infectious Diseases Society of America,Oxford University Press; US,55
Chinese Medical Journal,"Lippincott Williams & Wilkins; Hagerstown, MD",55
Circulation,"Lippincott Williams & Wilkins; Hagerstown, MD",55
Revista do Instituto de Medicina Tropical de São Paulo,Instituto de Medicina Tropical de São Paulo,55
Nanomaterials,MDPI,54
NPJ Systems Biology and Applications,Nature Publishing Group UK; London,54
Diabetology & Metabolic Syndrome,BioMed Central; London,54
Molecular Neurodegeneration,BioMed Central; London,54
"Arteriosclerosis, Thrombosis, and Vascular Biology","Lippincott Williams & Wilkins; Hagerstown, MD",54
BMC Cardiovascular Disorders,BioMed Central; London,54
Current Genomics,Bentham Science Publishers,54
Frontiers in Neuroanatomy,Frontiers Media S.A.,53
Molecular Autism,BioMed Central; London,53
Journal of Hematology & Oncology,BioMed Central; London,53
Communications Medicine,Nature Publishing Group UK; London,53
Molecular Brain,BioMed Central; London,53
Neurobiology of Language,"MIT Press; One Broadway, 12th Floor, Cambridge, Massachusetts 02142, USA journals-info@mit.edu",53
NPJ Breast Cancer,Nature Publishing Group UK; London,53
G3: Genes | Genomes | Genetics,Oxford University Press; US,53
Circulation Research,"Lippincott Williams & Wilkins; Hagerstown, MD",53
BMC Ecology,BioMed Central,53
International Journal of General Medicine,Dove,52
Natural Products and Bioprospecting,Springer Nature Singapore; Singapore,52
Planta,Springer Berlin Heidelberg; Berlin/Heidelberg,52
Disease Markers,Hindawi,52
Proteins,"John Wiley & Sons, Inc.; Hoboken, USA",52
European Journal of Medical Research,BioMed Central; London,52
"Drug Design, Development and Therapy",Dove,52
Biology of Sex Differences,BioMed Central; London,51
Chemmedchem,John Wiley and Sons Inc.; Hoboken,51
BMC Complementary Medicine and Therapies,BioMed Central; London,51
Plant Molecular Biology,Springer Netherlands; Dordrecht,51
Communications Psychology,Nature Publishing Group UK; London,51
Conservation Physiology,Oxford University Press,50
Molecular Biology Reports,Springer Netherlands; Dordrecht,50
Current Research in Structural Biology,Elsevier,50
The Journal of General Physiology,Rockefeller University Press,50
Proteomics,John Wiley and Sons Inc.; Hoboken,50
Cell Metabolism,Cell Press,49
World Journal of Microbiology & Biotechnology,Springer Netherlands; Dordrecht,49
Lancet Regional Health - Americas,Elsevier,49
Virus Genes,Springer US; New York,49
AIMS Microbiology,AIMS Press,49
Journal of Ovarian Research,BioMed Central; London,49
The American Journal of Tropical Medicine and Hygiene,The American Society of Tropical Medicine and Hygiene,49
Behavioral Sciences,MDPI,49
"International Journal of Surgery (London, England)","Lippincott Williams & Wilkins; Hagerstown, MD",49
Nanoscale Advances,RSC,49
Preventive Medicine Reports,Elsevier,48
PLOS Medicine,"Public Library of Science; San Francisco, CA USA",48
Nature Medicine,Nature Publishing Group US; New York,48
Veterinary Research Communications,Springer Netherlands; Dordrecht,48
Frontiers in Insect Science,Frontiers Media S.A.,48
Veterinary Research Forum,"Urmia University Press; Urmia, Iran",47
Nature Biotechnology,Nature Publishing Group US; New York,47
GeroScience,Springer International Publishing; Cham,47
Journal of Synchrotron Radiation,International Union of Crystallography,47
European Journal of Clinical Microbiology & Infectious Diseases,Springer Berlin Heidelberg; Berlin/Heidelberg,47
BMC Medical Research Methodology,BioMed Central; London,47
ArXiv,Cornell University,47
Molecular Cancer Research,American Association for Cancer Research,47
BMC Cell Biology,BioMed Central; London,47
Genomics & Informatics,Korea Genome Organization,47
Molecular Medicine,BioMed Central; London,46
Molecular Neurobiology,Springer US; New York,46
Cell Proliferation,John Wiley and Sons Inc.; Hoboken,46
Stem Cells International,Hindawi,46
Bioinformation,Biomedical Informatics,46
BioData Mining,BioMed Central; London,46
FEMS Yeast Research,Oxford University Press,46
Non-Coding RNA,MDPI,46
Experimental & Applied Acarology,Springer International Publishing; Cham,46
Cell Systems,Cell Press,46
Immunogenetics,Springer Berlin Heidelberg; Berlin/Heidelberg,46
Journal of Neurophysiology,"American Physiological Society; Bethesda, MD",46
Acta Crystallographica Section F: Structural Biology and Crystallization Communications,International Union of Crystallography,46
Journal of Clinical Laboratory Analysis,John Wiley and Sons Inc.; Hoboken,45
Infectious Diseases of Poverty,BioMed Central; London,45
International Journal of Epidemiology,Oxford University Press,45
Psychological Medicine,"Cambridge University Press; Cambridge, UK",45
Current Research in Food Science,Elsevier,45
JAC-Antimicrobial Resistance,Oxford University Press; UK,45
The Journal of Experimental Biology,The Company of Biologists,45
Neural Regeneration Research,Wolters Kluwer - Medknow; India,44
Open Life Sciences,De Gruyter,44
Psychologica Belgica,Ubiquity Press,44
Cellular & Molecular Biology Letters,BioMed Central; London,44
Journal of Behavioral Addictions,Akadémiai Kiadó; Budapest,44
The Journal of Venomous Animals and Toxins Including Tropical Diseases,Centro de Estudos de Venenos e Animais Peçonhentos (CEVAP/UNESP),44
ImmunoHorizons,AAI,44
Journal of Biomedical Semantics,BioMed Central,44
Chinese Medicine,BioMed Central; London,43
Blood Cancer Journal,Nature Publishing Group UK; London,43
Acta Veterinaria Scandinavica,BioMed Central; London,43
The Journal of Neuroscience,Society for Neuroscience,43
Physical Chemistry Chemical Physics,The Royal Society of Chemistry,43
BMC Pregnancy and Childbirth,BioMed Central; London,43
Journal of Animal Science and Technology,Korean Society of Animal Sciences and Technology,43
Journal of Medical Microbiology,Microbiology Society,43
Cancer Communications,John Wiley and Sons Inc.; Hoboken,43
International Journal of Cancer,"John Wiley & Sons, Inc.; Hoboken, USA",43
Journal of Heredity,Oxford University Press; US,43
Archaea,Hindawi Publishing Corporation,43
MMWR Surveillance Summaries,Centers for Disease Control and Prevention,43
World Journal of Gastroenterology,Baishideng Publishing Group Inc,42
Entropy,MDPI,42
Toxics,MDPI,42
Brain Structure & Function,Springer Berlin Heidelberg; Berlin/Heidelberg,42
Mediators of Inflammation,Wiley,42
Hereditas,BioMed Central; London,42
The Lancet Regional Health: Western Pacific,Elsevier,42
International Journal of Nanomedicine,Dove,42
Febs Letters,John Wiley and Sons Inc.; Hoboken,42
Bioinorganic Chemistry and Applications,Hindawi Publishing Corporation,42
Network Neuroscience,"MIT Press; 255 Main Street, 9th Floor, Cambridge, Massachusetts 02142, USA journals-info@mit.edu",42
BMC Pediatrics,BioMed Central; London,41
Frontiers in Big Data,Frontiers Media S.A.,41
Assessment,"SAGE Publications; Sage CA: Los Angeles, CA",41
Bioactive Materials,KeAi Publishing,41
Journal of Nanobiotechnology,BioMed Central; London,41
Systematic Reviews,BioMed Central; London,41
Neurology: Genetics,Wolters Kluwer; Baltimore,41
Systematic Parasitology,Springer Netherlands; Dordrecht,41
Molecular cell,,40
The Lancet. Microbe,Elsevier Ltd,40
NPJ Parkinson's Disease,Nature Publishing Group UK; London,40
Toxicological Sciences,Oxford University Press,40
Learning & Memory,Cold Spring Harbor Laboratory Press,40
The Journal of Animal Ecology,John Wiley and Sons Inc.; Hoboken,40
BMC Biochemistry,BioMed Central; London,40
Diabetologia,Springer Berlin Heidelberg; Berlin/Heidelberg,40
Current Zoology,Oxford University Press; UK,40
Medical Science Monitor : International Medical Journal of Experimental and Clinical Research,"International Scientific Literature, Inc.",40
Nature Human Behaviour,Nature Publishing Group UK; London,39
The Journal of Immunology Author Choice,AAI,39
NPJ Digital Medicine,Nature Publishing Group UK; London,39
"Cancer Immunology, Immunotherapy : CII",Springer Berlin Heidelberg; Berlin/Heidelberg,39
Journal of Ginseng Research,Elsevier,39
Archives of Sexual Behavior,Springer US; New York,39
Chemistry Central Journal,BioMed Central,39
Critical Care,BioMed Central,39
BMC Complementary and Alternative Medicine,BioMed Central,39
Revista Brasileira de Parasitologia Veterinária / Brazilian Journal of Veterinary Parasitology,Colégio Brasileiro de Parasitologia Veterinária,39
EClinicalMedicine,Elsevier,39
Bioresources and Bioprocessing,Springer Singapore; Singapore,39
MMWR Supplements,Centers for Disease Control and Prevention,39
International Journal of Chronic Obstructive Pulmonary Disease,Dove,38
Metabolomics,Springer US; New York,38
Comparative Cytogenetics,Pensoft Publishers,38
JMIR Research Protocols,"JMIR Publications; Toronto, Canada",38
Annals of Botany,Oxford University Press; US,38
Frontiers in Systems Neuroscience,Frontiers Media S.A.,38
Journal of the Endocrine Society,Oxford University Press; US,38
The Innovation,Elsevier,38
Drugs,Springer International Publishing; Cham,38
Stem Cells Translational Medicine,Oxford University Press; US,38
Journal of Structural Biology: X,Elsevier,38
Skeletal Muscle,BioMed Central; London,38
Current Medical Mycology,"Iranian Society of Medical Mycology; Sari, Iran",38
The Brazilian Journal of Infectious Diseases,Elsevier,38
Journal of Eating Disorders,BioMed Central; London,37
Nature Structural & Molecular Biology,Nature Publishing Group US; New York,37
Journal of Medical Virology,John Wiley and Sons Inc.; Hoboken,37
i-Perception,"SAGE Publications; Sage UK: London, England",37
Endocrine Connections,Bioscientifica Ltd; Bristol,37
Current biology : CB,,37
Biofilm,Elsevier,37
Cell Chemical Biology,Cell Press,37
Frontiers in Neurorobotics,Frontiers Media S.A.,37
Psychophysiology,John Wiley and Sons Inc.; Hoboken,36
Experimental Brain Research,Springer Berlin Heidelberg; Berlin/Heidelberg,36
Biological Research,BioMed Central; London,36
The Lancet Regional Health - Europe,Elsevier,36
European Journal of Psychotraumatology,Taylor & Francis,36
ERJ Open Research,European Respiratory Society,36
Non-coding RNA Research,KeAi Publishing,36
The Journal of International Medical Research,"SAGE Publications; Sage UK: London, England",36
Toxicology Reports,Elsevier,35
Food and Waterborne Parasitology,Elsevier,35
Journal of Evolutionary Biology,John Wiley and Sons Inc.; Hoboken,35
Journal of Orthopaedic Surgery and Research,BioMed Central; London,35
Plant Signaling & Behavior,Taylor & Francis,35
Pain,"Wolters Kluwer; Philadelphia, PA",35
Alzheimer's Research & Therapy,BioMed Central; London,35
Hla,"Blackwell Publishing Ltd; Oxford, UK",35
Asian Pacific Journal of Cancer Prevention : APJCP,West Asia Organization for Cancer Prevention; Iran,35
The European Journal of Neuroscience,John Wiley and Sons Inc.; Hoboken,35
Nutrition & Metabolism,BioMed Central; London,34
Nature Cell Biology,Nature Publishing Group UK; London,34
Frontiers in Integrative Neuroscience,Frontiers Media S.A.,34
Analytical and Bioanalytical Chemistry,Springer Berlin Heidelberg; Berlin/Heidelberg,34
Mycorrhiza,Springer Berlin Heidelberg; Berlin/Heidelberg,34
Cardiovascular Research,Oxford University Press; UK,34
Neurology® Neuroimmunology & Neuroinflammation,"Lippincott Williams & Wilkins; Hagerstown, MD",34
Environmental Epigenetics,Oxford University Press; UK,34
Zoological Letters,BioMed Central; London,34
Frontiers in Robotics and AI,Frontiers Media S.A.,34
AAS Open Research,"F1000 Research Limited; London, UK",34
"Brain, Behavior, & Immunity - Health",Elsevier,33
Acta Biochimica et Biophysica Sinica,Oxford University Press,33
Frontiers in Sports and Active Living,Frontiers Media S.A.,33
Food Chemistry: X,Elsevier,33
MMWR Recommendations and Reports,Centers for Disease Control and Prevention,33
Glycobiology,Oxford University Press,33
Journal of Industrial Microbiology & Biotechnology,Oxford University Press,33
Mammalian Genome,Springer US; New York,33
Journal of Research of the National Institute of Standards and Technology,"[Gaithersburg, MD] : U.S. Dept. of Commerce, National Institute of Standards and Technology",33
Evolutionary Human Sciences,"Cambridge University Press; Cambridge, UK",33
"Human Reproduction (Oxford, England)",Oxford University Press,32
Iranian Journal of Basic Medical Sciences,"Mashhad University of Medical Sciences; Mashhad, Iran",32
"Immunity, Inflammation and Disease",John Wiley and Sons Inc.; Hoboken,32
Fungal Biology and Biotechnology,BioMed Central; London,32
Frontiers in Sociology,Frontiers Media S.A.,32
Neuroinformatics,Springer US; New York,32
Animal Bioscience,Animal Bioscience,32
Journal of Thoracic Disease,AME Publishing Company,32
Annals of Medicine,Taylor & Francis,32
Biology of Reproduction,Oxford University Press,32
Molecular Therapy Oncology,American Society of Gene & Cell Therapy,32
BMC Neurology,BioMed Central; London,32
MedComm,John Wiley and Sons Inc.; Hoboken,32
European Journal of Immunology,John Wiley and Sons Inc.; Hoboken,32
Extremophiles,Springer Japan; Tokyo,32
Biology Methods & Protocols,Oxford University Press,31
Functional & Integrative Genomics,Springer Berlin Heidelberg; Berlin/Heidelberg,31
"Addiction (Abingdon, England)",John Wiley and Sons Inc.; Hoboken,31
Journal of Medical Entomology,Oxford University Press; US,31
São Paulo Medical Journal,Associação Paulista de Medicina - APM,31
Molecular Biology Research Communications,"Shiraz University; Shiraz, Iran",31
World Journal of Surgical Oncology,BioMed Central; London,31
Annals of Medicine and Surgery,"Lippincott Williams & Wilkins; Hagerstown, MD",31
BMC Geriatrics,BioMed Central; London,31
"Bioscience of Microbiota, Food and Health",BMFH Press,31
Journal of Biomolecular Nmr,Springer Netherlands; Dordrecht,31
Clinical and Translational Science,John Wiley and Sons Inc.; Hoboken,31
The European Respiratory Journal,European Respiratory Society,31
Annals of Clinical and Translational Neurology,John Wiley and Sons Inc.; Hoboken,31
Molecular Cytogenetics,BioMed Central; London,31
Acta Parasitologica,Springer International Publishing; Cham,31
"Stem Cells (Dayton, Ohio)","BlackWell Publishing Ltd; Oxford, UK",31
Jundishapur Journal of Microbiology,Kowsar,31
Cortex; a Journal Devoted to the Study of the Nervous System and Behavior,Masson,30
Healthcare,MDPI,30
Acta Naturae,A.I. Gordeyev,30
JAMA Network Open,American Medical Association,30
Nature Chemical Biology,Nature Publishing Group US; New York,30
"Cognitive, Affective & Behavioral Neuroscience",Springer US; New York,30
Developmental Science,John Wiley and Sons Inc.; Hoboken,30
BMC Health Services Research,BioMed Central; London,30
Bone Research,Nature Publishing Group UK; London,30
The World Allergy Organization Journal,World Allergy Organization,30
"Clinical, Cosmetic and Investigational Dermatology",Dove,30
International Dental Journal,Elsevier,30
BMC Medical Informatics and Decision Making,BioMed Central; London,30
Environmental Health,BioMed Central; London,30
Glia,"John Wiley & Sons, Inc.; Hoboken, USA",30
Revista Cuidarte,"Programa de Enfermería, Facultad de Ciencias de la Salud, Universidad de Santander UDES",30
Frontiers in Research Metrics and Analytics,Frontiers Media S.A.,30
Journal of the Royal Society Interface,The Royal Society,29
Journal of Crohn's & Colitis,Oxford University Press; UK,29
Molecular Genetics and Genomics,Springer Berlin Heidelberg; Berlin/Heidelberg,29
"Evolution, Medicine, and Public Health",Oxford University Press; US,29
Journal of Personality,John Wiley and Sons Inc.; Hoboken,29
SSM - Population Health,Elsevier,29
Nature and Science of Sleep,Dove,29
Iranian Journal of Biotechnology,National Institute of Genetic Engineering and Biotechnology; Iran,29
Neurobiology of Stress,Elsevier,29
Environmental Science and Ecotechnology,Elsevier,29
BMC Endocrine Disorders,BioMed Central; London,29
Journal of Computer-Aided Molecular Design,Springer International Publishing; Cham,29
CNS Neuroscience & Therapeutics,John Wiley and Sons Inc.; Hoboken,29
Journal of Applied Genetics,Springer Berlin Heidelberg; Berlin/Heidelberg,29
Renal Failure,Taylor & Francis,28
The Lancet. Global Health,Elsevier Ltd,28
Journal of Applied Microbiology,John Wiley and Sons Inc.; Hoboken,28
The International Journal of Behavioral Nutrition and Physical Activity,BioMed Central; London,28
Conservation Biology,John Wiley and Sons Inc.; Hoboken,28
BMC Nephrology,BioMed Central; London,28
Current Developments in Nutrition,American Society for Nutrition,28
Biomarker Research,BioMed Central; London,28
Ecological Applications,"John Wiley & Sons, Inc.; Hoboken, USA",28
"Dalton Transactions (Cambridge, England : 2003)",The Royal Society of Chemistry,28
Evolutionary Psychology,"SAGE Publications; Sage CA: Los Angeles, CA",28
Health Science Reports,John Wiley and Sons Inc.; Hoboken,28
Water Research X,Elsevier,28
The Journal of Eukaryotic Microbiology,John Wiley and Sons Inc.; Hoboken,28
Food Chemistry: Molecular Sciences,Elsevier,28
Frontiers in Digital Health,Frontiers Media S.A.,28
Annals of Laboratory Medicine,Korean Society for Laboratory Medicine,28
European Journal of Inorganic Chemistry,WILEY-VCH Verlag; Weinheim,28
Psychological Science,"SAGE Publications; Sage CA: Los Angeles, CA",28
Cognition,Elsevier,27
Journal of the Medical Library Association : JMLA,"University Library System, University of Pittsburgh",27
FEMS Microbes,Oxford University Press,27
Blood Cancer Discovery,American Association for Cancer Research,27
American Journal of Botany,John Wiley and Sons Inc.; Hoboken,27
Nature Ecology & Evolution,Nature Publishing Group UK; London,27
Journal of Animal Science,Oxford University Press; US,27
Marine Life Science & Technology,Springer Nature Singapore; Singapore,27
Medicina,MDPI,27
RSC Medicinal Chemistry,RSC,27
Research,AAAS,27
The Journal of Reproduction and Development,The Society for Reproduction and Development,27
BMC Chemistry,Springer International Publishing; Cham,27
Child Development,John Wiley and Sons Inc.; Hoboken,27
Genes & Nutrition,Springer Berlin Heidelberg; Berlin/Heidelberg,27
Acta Crystallographica Section C: Structural Chemistry,International Union of Crystallography,27
"Marine Biotechnology (New York, N.y.)",Springer US; New York,27
Membranes,MDPI,26
Journal of Phycology,John Wiley and Sons Inc.; Hoboken,26
The Veterinary Quarterly,Taylor & Francis,26
Journal of Youth and Adolescence,Springer US; New York,26
NPJ Regenerative Medicine,Nature Publishing Group UK; London,26
HemaSphere,"Lippincott Williams & Wilkins; Philadelphia, PA",26
Journal of Biological Inorganic Chemistry,Springer International Publishing; Cham,26
NPJ Science of Learning,Nature Publishing Group UK; London,26
Neuroscience of Consciousness,Oxford University Press; UK,26
NPJ Microgravity,Nature Publishing Group UK; London,26
Veterinary Medicine International,Wiley,26
BMC Molecular and Cell Biology,BioMed Central; London,26
The Journal of Clinical Endocrinology and Metabolism,Oxford University Press; US,26
Meta Gene,Elsevier,26
Monatshefte Fur Chemie,Springer Vienna; Vienna,26
Journal of Structural Biology,Academic Press,26
British Journal of Pharmacology,John Wiley and Sons Inc.; Hoboken,26
Comparative and Functional Genomics,Hindawi Publishing Corporation,26
"Reproduction (Cambridge, England)",Bioscientifica Ltd; Bristol,25
Journal of Neurochemistry,John Wiley and Sons Inc.; Hoboken,25
Structural Dynamics,American Crystallographic Association,25
Animal Genetics,John Wiley and Sons Inc.; Hoboken,25
Microbial Cell,Shared Science Publishers,25
Journal of Advanced Veterinary and Animal Research,A periodical of the Network for the Veterinarians of Bangladesh (BDvetNET); Bangladesh,25
PLOS Digital Health,"Public Library of Science; San Francisco, CA USA",25
Acta Crystallographica Section D: Structural Biology,International Union of Crystallography,25
Clinical and Translational Gastroenterology,"Wolters Kluwer; Philadelphia, PA",25
Parasite Epidemiology and Control,Elsevier,25
Clinical & Translational Immunology,John Wiley and Sons Inc.; Hoboken,25
Materials Today Bio,Elsevier,25
Current Research in Insect Science,Elsevier,25
Journal of Bone and Mineral Research,Oxford University Press,25
Autism,"SAGE Publications; Sage UK: London, England",25
Journal of Health Psychology,"SAGE Publications; Sage UK: London, England",25
"Plant, Cell & Environment",John Wiley and Sons Inc.; Hoboken,25
Infectious Agents and Cancer,BioMed Central,25
International Journal for Parasitology,Elsevier Science,25
Plant Cell Reports,Springer Berlin Heidelberg; Berlin/Heidelberg,25
Frontiers in Oral Health,Frontiers Media S.A.,25
The Canadian Journal of Infectious Diseases & Medical Microbiology = Journal Canadien des Maladies Infectieuses et de la Microbiologie Médicale,Hindawi,24
Nature Immunology,Nature Publishing Group US; New York,24
Frontiers in Surgery,Frontiers Media S.A.,24
JMIR Formative Research,"JMIR Publications; Toronto, Canada",24
American Journal of Physiology - Lung Cellular and Molecular Physiology,"American Physiological Society; Rockville, MD",24
Digital Discovery,RSC,24
microLife,Oxford University Press,24
Endocrinology,Oxford University Press; US,24
Translational Lung Cancer Research,AME Publishing Company,24
ESMO Open,Elsevier,24
Journal of Korean Medical Science,The Korean Academy of Medical Sciences,24
The Journal of Headache and Pain,Springer Milan; Milan,24
JBMR Plus,Oxford University Press,24
Cancer Informatics,"SAGE Publications; Sage UK: London, England",24
Asian Journal of Andrology,Wolters Kluwer - Medknow; India,24
"Hypertension (Dallas, Tex. : 1979)","Lippincott Williams & Wilkins; Hagerstown, MD",24
Journal of Integrative Plant Biology,John Wiley and Sons Inc.; Hoboken,24
Journal of the American Medical Informatics Association : JAMIA,Oxford University Press,24
Environmental Health Perspectives,NLM-Export,24
Genetics in Medicine,Nature Publishing Group,24
The Journal of Applied Ecology,John Wiley and Sons Inc.; Hoboken,24
Journal of Visualized Experiments : JoVE,MyJove Corporation,24
Integrative Organismal Biology,Oxford University Press,24
Circulation. Genomic and Precision Medicine,"Lippincott Williams & Wilkins; Hagerstown, MD",23
Nature Plants,Nature Publishing Group UK; London,23
Journal of Integrative Bioinformatics,De Gruyter,23
Journal of Neurology,Springer Berlin Heidelberg; Berlin/Heidelberg,23
Experimental Hematology & Oncology,BioMed Central; London,23
Journal of Biological Engineering,BioMed Central; London,23
Journal of Diabetes Research,Wiley,23
Revista da Sociedade Brasileira de Medicina Tropical,Sociedade Brasileira de Medicina Tropical - SBMT,23
Reviews in Cardiovascular Medicine,IMR Press,23
IJID Regions,Elsevier,23
Technology in Cancer Research & Treatment,"SAGE Publications; Sage CA: Los Angeles, CA",23
Trends in Hearing,"SAGE Publications; Sage CA: Los Angeles, CA",23
Advances in Virology,Wiley,23
JACC: Basic to Translational Science,Elsevier,23
Particle and Fibre Toxicology,BioMed Central; London,23
Saudi Pharmaceutical Journal : SPJ,Elsevier,23
Nutrition Journal,BioMed Central; London,23
Cell Biology and Toxicology,Springer Netherlands; Dordrecht,23
Journal of Medical Genetics,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",23
Frontiers in Neuroimaging,Frontiers Media S.A.,23
The BMJ,BMJ Publishing Group Ltd.,23
Aging Clinical and Experimental Research,Springer International Publishing; Cham,23
Hepatitis Monthly,Kowsar,23
"Journal of Molecular Medicine (Berlin, Germany)",Springer Berlin Heidelberg; Berlin/Heidelberg,23
Cellular Microbiology,"BlackWell Publishing Ltd; Oxford, UK",23
International Journal of Obesity (2005),Nature Publishing Group UK; London,23
The Onderstepoort Journal of Veterinary Research,AOSIS,23
Neuropsychopharmacology,Springer International Publishing; Cham,23
Physiologia Plantarum,"Blackwell Publishing Ltd; Oxford, UK",22
Clinical Case Reports,John Wiley and Sons Inc.; Hoboken,22
Clinics,Hospital das Clinicas da Faculdade de Medicina da Universidade de Sao Paulo,22
Iranian Journal of Public Health,Tehran University of Medical Sciences,22
Fundamental Research,"The Science Foundation of China Publication Department, The National Natural Science Foundation of China",22
Pest Management Science,"John Wiley & Sons, Ltd.; Chichester, UK",22
"Chemical Communications (Cambridge, England)",The Royal Society of Chemistry,22
BMC Women's Health,BioMed Central; London,22
Pharmacogenomics and Personalized Medicine,Dove,22
Nature Metabolism,Nature Publishing Group UK; London,22
BMB Reports,Korean Society for Biochemistry and Molecular Biology,22
Metabolic Engineering Communications,Elsevier,22
Cell systems,,22
BMC Urology,BioMed Central; London,22
Journal of Medical Case Reports,BioMed Central; London,22
Folia Microbiologica,Springer Netherlands; Dordrecht,22
Iranian Biomedical Journal,"Pasteur Institute of Iran; Tehran, Iran",22
Frontiers in Neural Circuits,Frontiers Media S.A.,22
Cell Cycle,Taylor & Francis,22
Frontiers in Synaptic Neuroscience,Frontiers Media S.A.,22
The Lancet. Infectious Diseases,"Elsevier Science ;, The Lancet Pub. Group",22
Frontiers in Neuroergonomics,Frontiers Media S.A.,22
npj Viruses,Nature Publishing Group UK; London,21
British Journal of Psychology,John Wiley and Sons Inc.; Hoboken,21
Health Psychology and Behavioral Medicine,Routledge,21
JAMIA Open,Oxford University Press,21
Cellular and Molecular Immunology,Nature Publishing Group UK; London,21
Protein & Cell,Oxford University Press; US,21
European Journal of Nutrition,Springer Berlin Heidelberg; Berlin/Heidelberg,21
Cancer & Metabolism,BioMed Central; London,21
MedEdPublish,"F1000 Research Limited; London, UK",21
Regenerative Therapy,Japanese Society for Regenerative Medicine,21
Journal of Pharmaceutical Analysis,Xi'an Jiaotong University,21
Journal of Pain Research,Dove,21
Digital Health,"SAGE Publications; Sage UK: London, England",21
Diagnostic Pathology,BioMed Central; London,21
Ecology,"John Wiley & Sons, Inc.; Hoboken, USA",21
Mycopathologia,Springer Netherlands; Dordrecht,21
The Open Microbiology Journal,Bentham Open,21
Journal of Eye Movement Research,"Bern Open Publishing; Bern, Switzerland",21
Future Science OA,"Future Science Ltd; London, UK",21
Breast Cancer Research and Treatment,Springer US; New York,21
Fluids and Barriers of the CNS,BioMed Central; London,21
Infection Ecology & Epidemiology,Taylor & Francis,21
"Current Psychology (New Brunswick, N.j.)",Springer US; New York,21
Neuro-oncology Advances,Oxford University Press; US,21
Cancer Reports,John Wiley and Sons Inc.; Hoboken,21
Experimental Psychology,Hogrefe Publishing,21
Frontiers in Parasitology,Frontiers Media S.A.,21
Molecular and Cellular Biology,"American Society for Microbiology; 1752 N St., N.W., Washington, DC",20
Applied Psychology. Health and Well-Being,John Wiley and Sons Inc.; Hoboken,20
BMC Medical Education,BioMed Central; London,20
Acta Crystallographica Section F: Structural Biology Communications,International Union of Crystallography,20
Journal of Parasitology Research,Hindawi,20
Basic Research in Cardiology,Springer Berlin Heidelberg; Berlin/Heidelberg,20
Adipocyte,Taylor & Francis,20
Aging and Disease,JKL International LLC,20
"Acta Crystallographica. Section A, Foundations and Advances",International Union of Crystallography,20
Cancer Research and Treatment : Official Journal of Korean Cancer Association,Korean Cancer Association,20
International Journal of Clinical and Health Psychology : IJCHP,Asociacion Espanola de Psicologia Conductual,20
IDCases,Elsevier,20
Iranian Journal of Veterinary Research,"School of Veterinary Medicine, University of Shiraz; Shiraz, Iran",20
Veterinary and Animal Science,Elsevier,20
Brain Pathology,John Wiley and Sons Inc.; Hoboken,20
American Journal of Clinical Dermatology,Springer International Publishing; Cham,20
Social Psychological and Personality Science,"SAGE Publications; Sage CA: Los Angeles, CA",20
Immunity & Ageing : I & A,BioMed Central; London,20
Molecular Human Reproduction,Oxford University Press,20
Targeted Oncology,Springer International Publishing; Cham,20
Allergy,John Wiley and Sons Inc.; Hoboken,20
Journal of Anatomy,John Wiley and Sons Inc.; Hoboken,20
Virology,Academic Press,20
Beilstein Journal of Nanotechnology,"Beilstein-Institut; Trakehner Str. 7-9, 60487 Frankfurt am Main, Germany",20
Journal of the International AIDS Society,International AIDS Society,20
Biochimica et Biophysica Acta,Elsevier Pub. Co,20
Stroke,"Lippincott Williams & Wilkins; Hagerstown, MD",20
Psychopharmacology,Springer Berlin Heidelberg; Berlin/Heidelberg,20
Antibodies,MDPI,20
"Lancet (London, England)",Elsevier,20
Tropical Life Sciences Research,Penerbit Universiti Sains Malaysia,19
Computational Intelligence and Neuroscience,Hindawi,19
Physiological Genomics,"American Physiological Society; Rockville, MD",19
Open Medicine,De Gruyter,19
