journal,publisher,count
Cancers,MDPI,914
STAR Protocols,Elsevier,913
mSystems,"American Society for Microbiology; 1752 N St., N.W., Washington, DC",892
Frontiers in Neuroscience,Frontiers Media S.A.,869
Journal of Fungi,MDPI,859
GigaScience,Oxford University Press,853
Virology Journal,BioMed Central; London,834
PLoS Computational Biology,"Public Library of Science; San Francisco, USA",802
Cell Reports Medicine,Elsevier,796
Cells,MDPI,780
Frontiers in Pharmacology,Frontiers Media S.A.,771
The Journal of Cell Biology,Rockefeller University Press,770
Frontiers in Public Health,Frontiers Media S.A.,763
The Journal of Clinical Investigation,American Society for Clinical Investigation,761
Frontiers in Medicine,Frontiers Media S.A.,755
Molecular & Cellular Proteomics : MCP,American Society for Biochemistry and Molecular Biology,731
Marine Drugs,MDPI,727
Insects,MDPI,699
BioMed Research International,Hindawi,682
BMC Cancer,BioMed Central; London,678
mSphere,"American Society for Microbiology; 1752 N St., N.W., Washington, DC",663
Cell Death & Disease,Nature Publishing Group UK; London,658
RSC Advances,The Royal Society of Chemistry,618
Journal of Experimental Botany,Oxford University Press; UK,615
Aging (Albany NY),Impact Journals,613
Genes & Development,Cold Spring Harbor Laboratory Press,609
Molecular Biology and Evolution,Oxford University Press,603
Royal Society Open Science,The Royal Society,593
Morbidity and Mortality Weekly Report,Centers for Disease Control and Prevention,593
BMC Veterinary Research,BioMed Central; London,590
Cell Reports,Cell Press,562
Biomolecules,MDPI,556
Life Science Alliance,Life Science Alliance LLC,555
Wellcome Open Research,"F1000 Research Limited; London, UK",555
Frontiers in Cardiovascular Medicine,Frontiers Media S.A.,547
Antibiotics,MDPI,545
PLOS Biology,"Public Library of Science; San Francisco, CA USA",540
Frontiers in Molecular Biosciences,Frontiers Media S.A.,539
BMC Research Notes,BioMed Central; London,530
RNA,Cold Spring Harbor Laboratory Press,528
BMC Biology,BioMed Central; London,523
Microbiome,BioMed Central; London,503
Computational and Structural Biotechnology Journal,Research Network of Computational and Structural Biotechnology,502
Plant Physiology,Oxford University Press,501
Biology,MDPI,499
BMC Infectious Diseases,BioMed Central; London,495
Genomics Data,Elsevier,494
Toxins,MDPI,487
Microbial Cell Factories,BioMed Central; London,480
The Journal of Experimental Medicine,Rockefeller University Press,477
Frontiers in Bioengineering and Biotechnology,Frontiers Media S.A.,471
Frontiers in Neurology,Frontiers Media S.A.,471
Bioinformatics,Oxford University Press,470
Frontiers in Psychiatry,Frontiers Media S.A.,469
AMB Express,Springer Berlin Heidelberg; Berlin/Heidelberg,468
Advanced Science,John Wiley and Sons Inc.; Hoboken,457
The ISME Journal,Nature Publishing Group UK; London,434
BMC Medical Genomics,BioMed Central; London,432
PLOS One,"Public Library of Science; San Francisco, CA USA",425
Nutrients,MDPI,425
Stem Cell Reports,Elsevier,420
Horticulture Research,Oxford University Press,420
Frontiers in Molecular Neuroscience,Frontiers Media S.A.,418
Emerging Microbes & Infections,Taylor & Francis,417
EBioMedicine,Elsevier,414
Poultry Science,Elsevier,413
Biodiversity Data Journal,Pensoft Publishers,412
International Journal for Parasitology: Parasites and Wildlife,Elsevier,408
PLOS Genetics,"Public Library of Science; San Francisco, CA USA",406
eBioMedicine,Elsevier,405
Applied and Environmental Microbiology,"American Society for Microbiology; 1752 N St., N.W., Washington, DC",401
Cell,Cell Press,392
Biotechnology for Biofuels,BioMed Central,389
International Journal of Environmental Research and Public Health,MDPI,385
MycoKeys,Pensoft Publishers,383
Foods,MDPI,378
Evolutionary Applications,John Wiley and Sons Inc.; Hoboken,375
Molecular Systems Biology,John Wiley and Sons Inc.; Hoboken,373
Frontiers in Aging Neuroscience,Frontiers Media S.A.,366
Microbes and Environments,Japanese Society of Microbial Ecology / Japanese Society of Soil Microbiology / Taiwan Society of Microbial Ecology / Japanese Society of Plant Microbe Interactions / Japanese Society for Extremophiles,362
Cell Reports Methods,Elsevier,362
BMJ Open,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",359
Standards in Genomic Sciences,Michigan State University,358
Cold Spring Harbor Molecular Case Studies,Cold Spring Harbor Laboratory Press,357
New Microbes and New Infections,Elsevier,356
The EMBO Journal,John Wiley and Sons Inc.; Hoboken,355
PLOS Pathogens,"Public Library of Science; San Francisco, CA USA",354
Applied Microbiology and Biotechnology,Springer Berlin Heidelberg; Berlin/Heidelberg,353
Journal of Virology,"American Society for Microbiology; 1752 N St., N.W., Washington, DC",351
IUCrJ,International Union of Crystallography,351
Journal of Translational Medicine,BioMed Central; London,345
medRxiv,Cold Spring Harbor Laboratory,337
MicrobiologyOpen,John Wiley and Sons Inc.; Hoboken,336
Plant Biotechnology Journal,John Wiley and Sons Inc.; Hoboken,335
Journal of the American Heart Association: Cardiovascular and Cerebrovascular Disease,John Wiley and Sons Inc.; Hoboken,333
Cell Genomics,Elsevier,330
DNA Research: An International Journal for Rapid Publication of Reports on Genes and Genomes,Oxford University Press,315
Microbial Biotechnology,John Wiley and Sons Inc.; Hoboken,313
Frontiers in Human Neuroscience,Frontiers Media S.A.,313
Genome Medicine,BioMed Central; London,310
"Chemistry (Weinheim an Der Bergstrasse, Germany)",John Wiley and Sons Inc.; Hoboken,303
Database: The Journal of Biological Databases and Curation,Oxford University Press; UK,303
Nature,Nature Publishing Group UK; London,296
Molecular Therapy. Nucleic Acids,American Society of Gene & Cell Therapy,294
Research Square,American Journal Experts,294
Molecular Cell,Cell Press,285
Frontiers in Chemistry,Frontiers Media S.A.,285
Frontiers in Cellular Neuroscience,Frontiers Media S.A.,284
Infection and Drug Resistance,Dove,279
Malaria Journal,BioMed Central; London,279
PhytoKeys,Pensoft Publishers,279
Mycobiology,Taylor & Francis,279
Life,MDPI,274
Medicine,"Lippincott Williams & Wilkins; Hagerstown, MD",273
Cancer Research Communications,American Association for Cancer Research,269
Theranostics,Ivyspring International Publisher; Sydney,269
BMC Public Health,BioMed Central; London,268
BMC Genetics,BioMed Central; London,268
NAR Genomics and Bioinformatics,Oxford University Press,266
HardwareX,Elsevier,265
Virus Evolution,Oxford University Press; UK,263
Redox Biology,Elsevier,263
The Plant Cell,Oxford University Press,257
Antioxidants,MDPI,256
EFSA Journal,John Wiley and Sons Inc.; Hoboken,256
Beilstein Journal of Organic Chemistry,"Beilstein-Institut; Trakehner Str. 7-9, 60487 Frankfurt am Main, Germany",253
Molecules : A Journal of Synthetic Chemistry and Natural Product Chemistry,MDPI,252
The Journal of Veterinary Medical Science,The Japanese Society of Veterinary Science,251
Biomedicines,MDPI,250
Molecular Metabolism,Elsevier,249
Behavior Research Methods,Springer US; New York,248
Systematic Biology,Oxford University Press; US,248
Applications in Plant Sciences,John Wiley and Sons Inc.; Hoboken,246
Breast Cancer Research : BCR,BioMed Central; London,244
Journal of Cognition,Ubiquity Press,239
Translational Psychiatry,Nature Publishing Group UK; London,238
"Acta Crystallographica. Section D, Structural Biology",International Union of Crystallography,236
FEMS Microbiology Ecology,Oxford University Press,235
Molecular Ecology,John Wiley and Sons Inc.; Hoboken,234
Brazilian Journal of Microbiology,Springer International Publishing; Cham,233
Journal of Experimental & Clinical Cancer Research : CR,BioMed Central; London,232
Molecular Cancer,BioMed Central; London,230
Environmental Microbiology,"John Wiley & Sons, Inc.; Hoboken, USA",229
Veterinary Research,BioMed Central; London,226
Metabolites,MDPI,225
Cancer Research,American Association for Cancer Research,224
PLOS Computational Biology,"Public Library of Science; San Francisco, CA USA",224
Journal of Insect Science,Oxford University Press; US,222
Gut Microbes,Taylor & Francis,221
Clinical Cancer Research,American Association for Cancer Research,220
Journal of Cellular and Molecular Medicine,John Wiley and Sons Inc.; Hoboken,219
Clinical Epigenetics,BioMed Central; London,218
Frontiers in Pediatrics,Frontiers Media S.A.,217
Access Microbiology,Microbiology Society,216
EMBO Molecular Medicine,John Wiley and Sons Inc.; Hoboken,216
Protein Science : A Publication of the Protein Society,"John Wiley & Sons, Inc.; Hoboken, USA",215
Proceedings of the Royal Society B: Biological Sciences,The Royal Society,215
Parasite,EDP Sciences,215
Human Molecular Genetics,Oxford University Press,212
Cancer Science,John Wiley and Sons Inc.; Hoboken,212
PLOS Neglected Tropical Diseases,"Public Library of Science; San Francisco, CA USA",211
EMBO Reports,John Wiley and Sons Inc.; Hoboken,209
BMC Biotechnology,BioMed Central; London,209
Pharmaceuticals,MDPI,208
Saudi Journal of Biological Sciences,Elsevier,202
Cancer Medicine,John Wiley and Sons Inc.; Hoboken,199
Aging Cell,John Wiley and Sons Inc.; Hoboken,198
"Sensors (Basel, Switzerland)",MDPI,197
BMC Structural Biology,BioMed Central; London,197
"Genomics, Proteomics & Bioinformatics",Elsevier,196
Eurosurveillance,European Centre for Disease Prevention and Control (ECDC),196
Persoonia : Molecular Phylogeny and Evolution of Fungi,Naturalis Biodiversity Center & Westerdijk Fungal Biodiversity Institute,196
Vaccines,MDPI,195
Journal of Nematology,Sciendo,194
British Journal of Cancer,Nature Publishing Group UK; London,194
International Journal of Biological Sciences,Ivyspring International Publisher; Sydney,193
Veterinary Sciences,MDPI,193
The New Phytologist,John Wiley and Sons Inc.; Hoboken,187
Current Biology,Cell Press,187
Microbial Ecology,Springer US; New York,185
Human Brain Mapping,"John Wiley & Sons, Inc.; Hoboken, USA",185
BMC Systems Biology,BioMed Central,185
Veterinary World,Veterinary World; India,184
Oncogene,Nature Publishing Group UK; London,184
The Plant Journal,John Wiley and Sons Inc.; Hoboken,179
"Development (Cambridge, England)",The Company of Biologists Ltd,177
FEBS Open Bio,John Wiley and Sons Inc.; Hoboken,177
Journal of Microbiology and Biotechnology,Korean Society for Microbiology and Biotechnology,176
Briefings in Bioinformatics,Oxford University Press,176
Epigenetics & Chromatin,BioMed Central; London,176
BMC Medicine,BioMed Central; London,175
Cancer Discovery,American Association for Cancer Research,174
Journal of Clinical Medicine,MDPI,173
Open Biology,The Royal Society,173
Journal of Genetic Engineering & Biotechnology,Springer Berlin Heidelberg; Berlin/Heidelberg,173
Bioscience Reports,Portland Press Ltd.,173
Stem Cell Research & Therapy,BioMed Central; London,171
IMA Fungus,BioMed Central; London,170
Molecular Oncology,John Wiley and Sons Inc.; Hoboken,169
Transboundary and Emerging Diseases,John Wiley and Sons Inc.; Hoboken,168
Neurology,"Lippincott Williams & Wilkins; Hagerstown, MD",166
Virulence,Taylor & Francis,164
Molecular Medicine Reports,D.A. Spandidos,164
PLoS Medicine,"Public Library of Science; San Francisco, USA",163
Journal of Cheminformatics,Springer International Publishing; Cham,160
Genetics and Molecular Biology,Sociedade Brasileira de Genética,160
Oncology Letters,D.A. Spandidos,158
SpringerPlus,Springer International Publishing; Cham,158
Parasitology Research,Springer Berlin Heidelberg; Berlin/Heidelberg,157
Molecular Biology of the Cell,The American Society for Cell Biology,157
Antimicrobial Agents and Chemotherapy,"American Society for Microbiology; 1752 N St., N.W., Washington, DC",155
Disease Models & Mechanisms,The Company of Biologists Ltd,155
Plant Direct,John Wiley and Sons Inc.; Hoboken,154
Journal of Vision,The Association for Research in Vision and Ophthalmology,153
Memórias do Instituto Oswaldo Cruz,"Instituto Oswaldo Cruz, Ministério da Saúde",153
Studies in Mycology,Westerdijk Fungal Biodiversity Institute,153
Archives of Virology,Springer Vienna; Vienna,152
Arthritis Research & Therapy,BioMed Central; London,152
Cellular and Molecular Life Sciences: CMLS,Springer International Publishing; Cham,149
Gut Pathogens,BioMed Central; London,149
Physiological Reports,John Wiley and Sons Inc.; Hoboken,149
Genetics,Oxford University Press,148
Patterns,Elsevier,148
Cell Death Discovery,Nature Publishing Group UK; London,147
Parasitology,"Cambridge University Press; Cambridge, UK",147
Journal for Immunotherapy of Cancer,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",146
Clinical and Translational Medicine,John Wiley and Sons Inc.; Hoboken,145
Pharmaceutics,MDPI,144
Frontiers in Neuroinformatics,Frontiers Media S.A.,144
Psychonomic Bulletin & Review,Springer US; New York,144
Cell Communication and Signaling : CCS,BioMed Central; London,143
Cognitive Research: Principles and Implications,Springer International Publishing; Cham,142
Cellular and Molecular Gastroenterology and Hepatology,Elsevier,142
ISME Communications,Nature Publishing Group UK; London,141
The Plant Pathology Journal,Korean Society of Plant Pathology,141
3 Biotech,Springer Berlin Heidelberg; Berlin/Heidelberg,141
Retrovirology,BioMed Central; London,140
Journal of Advanced Research,Elsevier,139
Biology Open,The Company of Biologists,139
Journal of Cancer,Ivyspring International Publisher; Sydney,137
BMC Molecular Biology,BioMed Central; London,136
Developmental Cognitive Neuroscience,Elsevier,136
Zoological Research,"Science Press; 16 Donghuangchenggen Beijie, Beijing 100717, China",136
Acta Pharmaceutica Sinica. B,Elsevier,134
Acta Crystallographica Section D: Biological Crystallography,International Union of Crystallography,134
Veterinary Medicine and Science,John Wiley and Sons Inc.; Hoboken,132
Molecular Genetics & Genomic Medicine,John Wiley and Sons Inc.; Hoboken,131
Translational Oncology,Neoplasia Press,131
Journal of Neuroinflammation,BioMed Central; London,131
Virus Research,Elsevier,130
eNeuro,Society for Neuroscience,129
PeerJ Computer Science,"PeerJ Inc.; San Diego, USA",129
BMC Medical Genetics,BioMed Central,129
Gates Open Research,"F1000 Research Limited; London, UK",129
Biotechnology Reports,Elsevier,127
Environmental Microbiome,BioMed Central; London,125
The Korean Journal of Parasitology,The Korean Society for Parasitology and Tropical Medicine,125
Biochemistry and Biophysics Reports,Elsevier,124
Respiratory Research,BioMed Central; London,124
"Acta Crystallographica. Section F, Structural Biology Communications",International Union of Crystallography,123
Molecular Therapy. Methods & Clinical Development,American Society of Gene & Cell Therapy,123
Cancer Cell International,BioMed Central; London,122
microPublication Biology,Caltech Library,122
Materials,MDPI,121
Open Research Europe,"F1000 Research Limited; London, UK",121
Evolution; International Journal of Organic Evolution,John Wiley and Sons Inc.; Hoboken,121
Molecular Therapy,American Society of Gene & Cell Therapy,121
Microbiology,Microbiology Society,121
Biochemical Journal,Portland Press Ltd.,118
Journal of Antimicrobial Chemotherapy,Oxford University Press; UK,118
International Journal of Genomics,Hindawi Publishing Corporation,118
Frontiers in Behavioral Neuroscience,Frontiers Media S.A.,117
Open Forum Infectious Diseases,Oxford University Press; US,116
Journal of Extracellular Vesicles,John Wiley and Sons Inc.; Hoboken,116
Quarterly Journal of Experimental Psychology (2006),"SAGE Publications; Sage UK: London, England",116
Journal of Molecular Biology,Elsevier,116
BMC Developmental Biology,BioMed Central; London,116
Biomolecular Nmr Assignments,Springer Netherlands; Dordrecht,116
International Journal of Systematic and Evolutionary Microbiology,Microbiology Society,115
Lipids in Health and Disease,BioMed Central; London,114
Journal of Lipid Research,American Society for Biochemistry and Molecular Biology,114
HRB Open Research,"F1000 Research Limited; London, UK",114
BMC Ecology and Evolution,BioMed Central; London,113
RNA Biology,Taylor & Francis,113
Epigenetics,Taylor & Francis,113
Plant Diversity,"Kunming Institute of Botany, Chinese Academy of Sciences",113
Discover Oncology,Springer US; New York,113
"Structure(London, England:1993)",Cell Press,113
Social Cognitive and Affective Neuroscience,Oxford University Press; UK,112
"Acta Crystallographica. Section C, Structural Chemistry",International Union of Crystallography,112
Environmental Microbiology Reports,"John Wiley & Sons, Inc.; Hoboken, USA",111
PNAS Nexus,Oxford University Press,111
AoB Plants,Oxford University Press; US,111
Acta Neuropathologica Communications,BioMed Central; London,111
American Journal of Human Genetics,Elsevier,110
Angewandte Chemie (International Ed. in English),John Wiley and Sons Inc.; Hoboken,109
Cell Discovery,Springer Nature Singapore; Singapore,108
Human Genetics and Genomics Advances,Elsevier,108
MethodsX,Elsevier,107
Neuron,Cell Press,107
Evidence-based Complementary and Alternative Medicine : eCAM,Hindawi,107
"Attention, Perception & Psychophysics",Springer US; New York,107
Cell Research,Nature Publishing Group,107
Brain,Oxford University Press; US,106
Biology Direct,BioMed Central; London,106
Current Issues in Molecular Biology,MDPI,105
Experimental & Molecular Medicine,Nature Publishing Group UK; London,105
Molecular Vision,Molecular Vision,105
Human Genome Variation,Nature Publishing Group UK; London,104
Molecular Plant Pathology,John Wiley and Sons Inc.; Hoboken,104
Molecular Microbiology,John Wiley and Sons Inc.; Hoboken,104
NeuroImage : Clinical,Elsevier,103
Journal of Inflammation Research,Dove,103
Diagnostics,MDPI,102
Molecular Psychiatry,Nature Publishing Group UK; London,102
Current Research in Microbial Sciences,Elsevier,102
Immunity,Cell Press,102
Psychological Research,Springer Berlin Heidelberg; Berlin/Heidelberg,102
Personality & Social Psychology Bulletin,"SAGE Publications; Sage CA: Los Angeles, CA",102
NPJ Biofilms and Microbiomes,Nature Publishing Group UK; London,100
The Scientific World Journal,Hindawi Publishing Corporation,100
One Health,Elsevier,99
Brain Communications,Oxford University Press; US,99
JHEP Reports,Elsevier,99
EvoDevo,BioMed Central; London,98
Molecular Ecology Resources,John Wiley and Sons Inc.; Hoboken,98
Leukemia,Nature Publishing Group UK; London,98
Journal of Animal Science and Biotechnology,BioMed Central; London,97
The Journal of General Virology,Microbiology Society,97
Cell Stem Cell,Cell Press,96
TAG. Theoretical and Applied Genetics. Theoretische Und Angewandte Genetik,Springer Berlin Heidelberg; Berlin/Heidelberg,95
Frontiers in Artificial Intelligence,Frontiers Media S.A.,95
Evolution Letters,John Wiley and Sons Inc.; Hoboken,95
Open Mind : Discoveries in Cognitive Science,"MIT Press; One Broadway, 12th Floor, Cambridge, Massachusetts 02142, USA journals-info@mit.edu",95
Experimental and Therapeutic Medicine,D.A. Spandidos,95
"Cerebral Cortex (New York, NY)",Oxford University Press,94
Journal of Cell Science,The Company of Biologists,94
eClinicalMedicine,Elsevier,92
Rice,Springer US; New York,92
Animal Nutrition,KeAi Publishing,92
"Acta Crystallographica Section B, Structural Science, Crystal Engineering and Materials",International Union of Crystallography,92
Developmental Cell,Cell Press,91
Current Microbiology,Springer US; New York,90
PLoS Currents,"Public Library of Science; San Francisco, USA",90
Preventing Chronic Disease,Centers for Disease Control and Prevention,90
Animal Microbiome,BioMed Central; London,89
Journal of Enzyme Inhibition and Medicinal Chemistry,Taylor & Francis,89
International Journal of Microbiology,Wiley,89
Journal of Clinical Microbiology,"American Society for Microbiology; 1752 N St., N.W., Washington, DC",89
BMC Neuroscience,BioMed Central,89
Fungal Systematics and Evolution,Fungal Systematics and Evolution,89
"Neoplasia (New York, N.Y.)",Neoplasia Press,88
Cell & Bioscience,BioMed Central; London,87
Haematologica,Fondazione Ferrata Storti,86
NeuroImage,,86
Polymers,MDPI,86
Plant Methods,BioMed Central; London,86
Oxidative Medicine and Cellular Longevity,Hindawi,86
Acta Neuropathologica,Springer Berlin Heidelberg; Berlin/Heidelberg,86
BMC Genomic Data,BioMed Central; London,86
Journal of Applied Crystallography,International Union of Crystallography,86
OncoTargets and therapy,Dove Medical Press,86
Journal of Veterinary Science,The Korean Society of Veterinary Science,85
BMC Gastroenterology,BioMed Central; London,85
Genes & Diseases,Chongqing Medical University,85
Trials,BioMed Central; London,85
NAR Cancer,Oxford University Press,84
Neuroimage,Academic Press,84
BMC Psychiatry,BioMed Central; London,83
Antonie Van Leeuwenhoek,Springer International Publishing; Cham,83
Mobile DNA,BioMed Central; London,83
Journal of Bacteriology,"American Society for Microbiology; 1752 N St., N.W., Washington, DC",82
Synthetic and Systems Biotechnology,KeAi Publishing,82
International Journal of Oncology,D.A. Spandidos,81
International Journal of Molecular Medicine,D.A. Spandidos,81
Brain Sciences,MDPI,81
Oncogenesis,Nature Publishing Group UK; London,81
Virologica Sinica,"Wuhan Institute of Virology, Chinese Academy of Sciences",81
The Journal of Infectious Diseases,Oxford University Press; US,81
Nature Genetics,Nature Publishing Group US; New York,80
Molecules and Cells,Korean Society for Molecular and Cellular Biology,80
Memory & Cognition,Springer US; New York,80
Frontiers in Zoology,BioMed Central; London,80
Iranian Journal of Parasitology,Tehran University of Medical Sciences,80
Chembiochem,John Wiley and Sons Inc.; Hoboken,80
mAbs,Taylor & Francis,79
Mycology,Taylor & Francis,79
Philosophical Transactions of the Royal Society B: Biological Sciences,The Royal Society,78
Heredity,Springer International Publishing; Cham,78
Annals of Translational Medicine,AME Publishing Company,77
Tropical Medicine and Infectious Disease,MDPI,77
Cureus,Cureus; Palo Alto (CA),77
Oncology Reports,D.A. Spandidos,77
The Indian Journal of Medical Research,Wolters Kluwer - Medknow; India,77
Oncoimmunology,Taylor & Francis,77
European Journal of Human Genetics,Nature Publishing Group,77
"Journal of Cachexia, Sarcopenia and Muscle",John Wiley and Sons Inc.; Hoboken,77
Journal of Biomedical Science,BioMed Central; London,75
Clinical Proteomics,BioMed Central; London,75
Brain and Behavior,John Wiley and Sons Inc.; Hoboken,75
Journal of Oral Microbiology,Taylor & Francis,75
Biophysical Journal,The Biophysical Society,75
Frontiers in Computational Neuroscience,Frontiers Media S.A.,75
Translational Cancer Research,AME Publishing Company,75
Bioengineered,Taylor & Francis,74
Gut,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",74
Frontiers in Fungal Biology,Frontiers Media S.A.,74
Asian-Australasian Journal of Animal Sciences,Asian-Australasian Association of Animal Production Societies (AAAP) and Korean Society of Animal Science and Technology (KSAST),74
Mycoscience,"The Mycological Society of Japan; Tokyo, JAPAN",73
Global Change Biology,John Wiley and Sons Inc.; Hoboken,73
Cancer Immunology Research,American Association for Cancer Research,73
Journal of Genomics,Ivyspring International Publisher; Sydney,73
Iranian Journal of Microbiology,Tehran University of Medical Sciences,72
Antimicrobial Resistance and Infection Control,BioMed Central; London,72
National Science Review,Oxford University Press,72
RSC Chemical Biology,RSC,72
Nature Microbiology,Nature Publishing Group UK; London,72
Plant and Cell Physiology,Oxford University Press; UK,72
Journal of Cancer Research and Clinical Oncology,Springer Berlin Heidelberg; Berlin/Heidelberg,72
The British Journal of Social Psychology,John Wiley and Sons Inc.; Hoboken,71
The FASEB Journal,John Wiley and Sons Inc.; Hoboken,71
Food Science & Nutrition,John Wiley and Sons Inc.; Hoboken,71
Journal of Veterinary Internal Medicine,"John Wiley & Sons, Inc.; Hoboken, USA",71
Breeding Science,Japanese Society of Breeding,71
Botanical Studies,Springer Nature Singapore; Singapore,71
GigaByte,"GigaScience Press; Sha Tin, New Territories, Hong Kong SAR",71
Annals of Clinical Microbiology and Antimicrobials,BioMed Central; London,70
PLOS Global Public Health,"Public Library of Science; San Francisco, CA USA",70
"Genetics, Selection, Evolution : GSE",BioMed Central; London,69
The Febs Journal,John Wiley and Sons Inc.; Hoboken,69
Ecology Letters,John Wiley and Sons Inc.; Hoboken,69
Journal of Immunology Research,Hindawi,69
Journal of Personalized Medicine,MDPI,69
Polish Journal of Microbiology,Sciendo,68
JID Innovations,Elsevier,68
Archives of Microbiology,Springer Berlin Heidelberg; Berlin/Heidelberg,68
Reproductive Biology and Endocrinology : RB&E,BioMed Central; London,68
Proteomes,MDPI,68
Signal Transduction and Targeted Therapy,Nature Publishing Group UK; London,67
Human Genomics,BioMed Central; London,67
NPJ Genomic Medicine,Nature Publishing Group UK; London,67
Proteome Science,BioMed Central,67
International Journal for Parasitology: Drugs and Drug Resistance,Elsevier,66
Cell Host & Microbe,Cell Press,66
BMC Psychology,BioMed Central; London,66
Autophagy,Taylor & Francis,66
ChemistryOpen,John Wiley and Sons Inc.; Hoboken,66
Cell Death and Differentiation,Nature Publishing Group UK; London,66
BMC Oral Health,BioMed Central; London,65
BMC Pulmonary Medicine,BioMed Central; London,65
Communications Chemistry,Nature Publishing Group UK; London,65
Evolutionary Bioinformatics Online,"SAGE Publications; Sage UK: London, England",65
Biotechnology for Biofuels and Bioproducts,BioMed Central; London,64
Bioinformatics Advances,Oxford University Press,64
Orphanet Journal of Rare Diseases,BioMed Central; London,64
Infection and Immunity,"American Society for Microbiology; 1752 N St., N.W., Washington, DC",64
Medical Mycology Case Reports,Elsevier,64
Human Genetics,Springer Berlin Heidelberg; Berlin/Heidelberg,64
Frontiers in Bioinformatics,Frontiers Media S.A.,63
Nature Methods,Nature Publishing Group US; New York,63
Hepatology Communications,"Lippincott Williams & Wilkins; Hagerstown, MD",63
Journal of Veterinary Research,Sciendo,62
Environmental Science and Pollution Research International,Springer Berlin Heidelberg; Berlin/Heidelberg,61
BMC Musculoskeletal Disorders,BioMed Central; London,61
Alzheimer's & Dementia,John Wiley and Sons Inc.; Hoboken,61
Influenza and Other Respiratory Viruses,"Blackwell Publishing Ltd; Oxford, UK",61
Bioinformatics and Biology Insights,"SAGE Publications; Sage UK: London, England",60
Journal of Oncology,Hindawi,60
BMC Immunology,BioMed Central; London,60
Cancer Cell,Cell Press,59
Bioengineering,MDPI,59
Journal of Intelligence,MDPI,59
Computational and Mathematical Methods in Medicine,Hindawi,59
